name,from_date
Wakefield,2003-12-17
Sturt,2003-12-17
Port Adelaide,2003-12-17
Mayo,2003-12-17
Makin,2003-12-17
Kingston,2003-12-17
Hindmarsh,2003-12-17
Grey,2003-12-17
Boothby,2003-12-17
Barker,2003-12-17
Adelaide,2003-12-17
Fraser,2005-12-09
Canberra,2005-12-09
Tangney,2008-12-18
Swan,2008-12-18
Stirling,2008-12-18
Perth,2008-12-18
Pearce,2008-12-18
O'Connor,2008-12-18
Moore,2008-12-18
Hasluck,2008-12-18
Fremantle,2008-12-18
Forrest,2008-12-18
Durack,2008-12-18
Curtin,2008-12-18
Cowan,2008-12-18
Canning,2008-12-18
Brand,2008-12-18
Solomon,2008-12-18
Lingiari,2008-12-18
Lyons,2009-12-22
Franklin,2009-12-22
Denison,2009-12-22
Braddon,2009-12-22
Bass,2009-12-22
Wright,2009-12-22
Wide Bay,2009-12-22
Ryan,2009-12-22
Rankin,2009-12-22
Petrie,2009-12-22
Oxley,2009-12-22
Moreton,2009-12-22
Moncrieff,2009-12-22
McPherson,2009-12-22
Maranoa,2009-12-22
Longman,2009-12-22
Lilley,2009-12-22
Leichhardt,2009-12-22
Kennedy,2009-12-22
Hinkler,2009-12-22
Herbert,2009-12-22
Groom,2009-12-22
Griffith,2009-12-22
Forde,2009-12-22
Flynn,2009-12-22
Fisher,2009-12-22
Fairfax,2009-12-22
Fadden,2009-12-22
Dickson,2009-12-22
Dawson,2009-12-22
Capricornia,2009-12-22
Brisbane,2009-12-22
Bowman,2009-12-22
Bonner,2009-12-22
Blair,2009-12-22
Werriwa,2009-12-22
Wentworth,2009-12-22
Watson,2009-12-22
Warringah,2009-12-22
Throsby,2009-12-22
Sydney,2009-12-22
Shortland,2009-12-22
Robertson,2009-12-22
Riverina,2009-12-22
Richmond,2009-12-22
Reid,2009-12-22
Paterson,2009-12-22
Parramatta,2009-12-22
Parkes,2009-12-22
Page,2009-12-22
North Sydney,2009-12-22
New England,2009-12-22
Newcastle,2009-12-22
Mitchell,2009-12-22
McMahon,2009-12-22
Macquarie,2009-12-22
Mackellar,2009-12-22
Macarthur,2009-12-22
Lyne,2009-12-22
Lindsay,2009-12-22
Kingsford Smith,2009-12-22
Hunter,2009-12-22
Hume,2009-12-22
Hughes,2009-12-22
Greenway,2009-12-22
Grayndler,2009-12-22
Gilmore,2009-12-22
Fowler,2009-12-22
Farrer,2009-12-22
Eden-Monaro,2009-12-22
Dobell,2009-12-22
Cunningham,2009-12-22
Cowper,2009-12-22
Cook,2009-12-22
Chifley,2009-12-22
Charlton,2009-12-22
Calare,2009-12-22
Bradfield,2009-12-22
Blaxland,2009-12-22
Berowra,2009-12-22
Bennelong,2009-12-22
Barton,2009-12-22
Banks,2009-12-22
Wills,2003-01-29
Wannon,2003-01-29
Scullin,2003-01-29
Murray,2003-01-29
Menzies,2003-01-29
Melbourne Ports,2003-01-29
Melbourne,2003-01-29
McMillan,2003-01-29
McEwen,2003-01-29
Maribyrnong,2003-01-29
Mallee,2003-01-29
La Trobe,2003-01-29
Lalor,2003-01-29
Kooyong,2003-01-29
Jagajaga,2003-01-29
Isaacs,2003-01-29
Indi,2003-01-29
Hotham,2003-01-29
Holt,2003-01-29
Higgins,2003-01-29
Gorton,2003-01-29
Goldstein,2003-01-29
Gippsland,2003-01-29
Gellibrand,2003-01-29
Flinders,2003-01-29
Dunkley,2003-01-29
Deakin,2003-01-29
Corio,2003-01-29
Corangamite,2003-01-29
Chisholm,2003-01-29
Casey,2003-01-29
Calwell,2003-01-29
Bruce,2003-01-29
Bendigo,2003-01-29
Batman,2003-01-29
Ballarat,2003-01-29
Aston,2003-01-29
